2026-03-28 20:27:36,260 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:27:36,260 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:37,265 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:27:37,272 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:27:37,272 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:37,495 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:27:37,520 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:27:37,520 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:37,718 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:27:37,723 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:27:37,723 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:37,895 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:27:37,900 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:27:37,900 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:38,116 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:27:38,235 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:27:38,235 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:38,298 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:27:38,305 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
